iter	RMSE
217	3.760123667
218	3.754852462
219	3.741672903
220	3.732101611
221	3.72461759
222	3.71851564
223	3.710996678
224	3.706588345
225	3.699004256
226	3.687894531
227	3.684456035
228	3.677449427
229	3.674219093
230	3.6702678
231	3.667464484
232	3.663538812
233	3.65420722
234	3.648920918
235	3.638140795
236	3.633902799
237	3.63096169
238	3.621125968
239	3.618689939
240	3.612465219
241	3.609103103
242	3.606068795
243	3.599493148
244	3.587495633
245	3.580125935
246	3.571710391
247	3.565590089
248	3.562923811
249	3.558479228
250	3.552911785
251	3.550215622
252	3.541735967
253	3.537176563
254	3.530741189
255	3.52539267
256	3.517038122
257	3.507530044
258	3.501536276
259	3.499426385
260	3.494026698
261	3.485663857
262	3.482944158
263	3.477516344
264	3.468934052
265	3.461661494
266	3.460246116
267	3.448531503
268	3.439829792
269	3.439006043
270	3.433239431
271	3.42610444
272	3.422068455
273	3.41383067
274	3.407814766
275	3.401577862
276	3.396297078
277	3.391996041
278	3.388429583
279	3.380468301
280	3.373405337
281	3.369962998
282	3.369373639
283	3.368683839
284	3.360895415
285	3.35365184
286	3.348155315
287	3.345784868
288	3.345257483
289	3.340060514
290	3.335186512
291	3.334789284
292	3.326501419
293	3.318231827
294	3.313219164
295	3.307898856
296	3.303215392
297	3.302631702
298	3.301760003
299	3.299228351
300	3.294290831
301	3.293711786
302	3.288805372
303	3.286745342
304	3.282647869
305	3.277967364
306	3.273941558
307	3.265359872
308	3.26106233
309	3.253867515
310	3.248338007
311	3.247812498
312	3.241826734
313	3.238247191
314	3.233502498
315	3.233185829
316	3.228251767
317	3.227547015
318	3.222537149
319	3.222117883
320	3.216262296
321	3.21224872
322	3.205560677
323	3.202179496
324	3.199184891
325	3.193621643
326	3.187526973
327	3.181873453
328	3.181429519
329	3.177938721
330	3.174113326
331	3.170792043
332	3.165979609
333	3.165634312
334	3.165301039
335	3.159464041
336	3.15333034
337	3.14825929
338	3.143785403
339	3.137858821
340	3.136980421
341	3.131932231
342	3.131684092
343	3.131310973
344	3.131074634
345	3.127758187
346	3.125946087
347	3.125722784
348	3.121298074
349	3.120993535
350	3.114999388
351	3.114786168
352	3.108905577
353	3.10493857
354	3.097674908
355	3.093980955
356	3.090061236
357	3.089865441
358	3.084719235
359	3.084390966
360	3.079943995
361	3.074024231
362	3.068157849
363	3.062792388
364	3.057914397
365	3.053557233
366	3.051130286
367	3.04454338
368	3.039663506
369	3.033318339
370	3.030622763
371	3.030441721
372	3.023319091
373	3.020073388
374	3.018648171
375	3.018255654
376	3.012647644
377	3.012483223
378	3.006914568
379	3.002283246
380	2.999422251
381	2.994646524
382	2.993007525
383	2.987485034
384	2.982899864
385	2.98271684
386	2.976884793
387	2.970688759
388	2.969431175
389	2.965333121
390	2.961182309
391	2.958686974
392	2.954499285
393	2.9493585
394	2.945961844
395	2.942699945
396	2.938206513
397	2.93468785
398	2.931399261
399	2.927742854
400	2.923707895
401	2.921149401
402	2.914668014
403	2.912458036
404	2.909994226
405	2.906890301
406	2.904483394
407	2.901831472
408	2.899264513
409	2.895815997
410	2.891462985
411	2.88693418
412	2.881441131
413	2.878776907
414	2.877568935
415	2.873092423
416	2.868506123
417	2.866180147
418	2.864920374
419	2.861488462
420	2.856094295
421	2.853561437
422	2.847830115
423	2.844351991
424	2.837943752
425	2.836947255
426	2.834545291
427	2.832661316
428	2.827094131
429	2.82426891
430	2.821073527
431	2.816152405
432	2.811734848
433	2.808754273
434	2.807537211
435	2.804622504
436	2.801582928
437	2.796276493
438	2.79501712
439	2.792996431
440	2.788524707
441	2.785493244
442	2.78212664
443	2.780766193
444	2.77644078
445	2.772730185
446	2.768977911
447	2.766180236
448	2.762891816
449	2.761608275
450	2.758508274
451	2.754389337
452	2.750188819
453	2.746639827
454	2.744256916
455	2.740786031
456	2.737408059
457	2.733934573
458	2.732125337
459	2.729575119
460	2.726830749
461	2.724680516
462	2.721332657
463	2.719538344
464	2.717379725
465	2.716247871
466	2.713718278
467	2.712026448
468	2.70677645
469	2.703560886
470	2.700688945
471	2.697977163
472	2.693225925
473	2.691060086
474	2.688093582
475	2.685120788
476	2.680686248
477	2.676158005
478	2.67369655
479	2.671182938
480	2.666020627
481	2.662915285
482	2.661097184
483	2.659158483
484	2.655686541
485	2.653511042
486	2.650595853
487	2.648973358
488	2.646899126
489	2.643703494
490	2.639971972
491	2.634382938
492	2.6312321
493	2.628524484
494	2.627086945
495	2.62396641
496	2.620261984
497	2.618478725
498	2.615981462
499	2.614906222
500	2.614817434
501	2.612708688
502	2.611072397
503	2.60603406
504	2.603866036
505	2.599259013
506	2.594884565
507	2.59148603
508	2.590408787
509	2.586105977
510	2.583294147
511	2.579847414
512	2.577875105
513	2.574158761
514	2.5722547
515	2.568006795
516	2.564514947
517	2.560867994
518	2.558286448
519	2.556523417
520	2.552772842
521	2.548763545
522	2.54588944
523	2.543031791
524	2.539528167
525	2.536773699
526	2.534754691
527	2.532112321
528	2.530277386
529	2.527685013
530	2.525256997
531	2.522106895
532	2.520946009
533	2.519315006
534	2.516293804
535	2.513651735
536	2.510302204
537	2.505839988
538	2.502874004
539	2.502705351
540	2.50110573
541	2.49751092
542	2.494368007
543	2.490856214
544	2.488037511
545	2.485921055
546	2.483476362
547	2.481178549
548	2.47890401
549	2.47701155
550	2.474752406
551	2.474039057
552	2.470391093
553	2.467834531
554	2.465783152
555	2.46494803
556	2.461233238
557	2.458881829
558	2.456228213
559	2.453035843
560	2.451675006
561	2.451559022
562	2.450990842
563	2.447613883
564	2.445111171
565	2.440803832
566	2.437368471
567	2.43480704
568	2.432679185
569	2.430248766
570	2.426365595
571	2.425853222
572	2.424920326
573	2.423423551
574	2.421746618
575	2.419567248
576	2.417962775
577	2.415557557
578	2.414095932
579	2.413018239
580	2.411651771
581	2.409536398
582	2.406920858
583	2.404489579
584	2.400620448
585	2.398945778
586	2.396006859
587	2.392216373
588	2.390856104
589	2.390478604
590	2.388413073
591	2.384875644
592	2.382930475
593	2.382775629
594	2.381197577
595	2.379604902
596	2.377319728
597	2.375533792
598	2.371800675
599	2.36918746
600	2.366632804
601	2.365379235
602	2.363354698
603	2.36138098
604	2.35935126
605	2.358932987
606	2.357809513
607	2.357546453
608	2.354034676
609	2.352590389
610	2.350479896
611	2.34913763
612	2.345658549
613	2.342369621
614	2.341435019
615	2.339226411
616	2.337906808
617	2.335913172
618	2.333856578
619	2.333460892
620	2.331645205
621	2.329193766
622	2.328237417
623	2.325940103
624	2.324044461
625	2.321928939
626	2.320050419
627	2.318080674
628	2.315614849
629	2.313946897
630	2.313394141
631	2.311698382
632	2.308720294
633	2.306726831
634	2.305188101
635	2.303042298
636	2.300032254
637	2.298550798
638	2.296662793
639	2.29594836
640	2.295733039
641	2.293233778
642	2.290238391
643	2.288804026
644	2.28723313
645	2.284575524
646	2.281586943
647	2.278806571
648	2.276818558
649	2.276455271
650	2.273939545
651	2.272014226
652	2.269365653
653	2.267404386
654	2.264714967
655	2.262765786
656	2.260731029
657	2.260335846
658	2.260068592
659	2.259985236
660	2.258428095
661	2.257313186
662	2.25527013
663	2.253818003
664	2.251345212
665	2.250465178
666	2.249062548
667	2.246019008
668	2.243029799
669	2.241393439
670	2.239153682
671	2.235759647
672	2.234329157
673	2.231403504
674	2.228843078
675	2.227139607
676	2.225775914
677	2.222480749
678	2.220878079
679	2.220087993
680	2.218178254
681	2.216043957
682	2.214707877
683	2.211558084
684	2.209812538
685	2.208153857
686	2.205722451
687	2.203763955
688	2.203579147
689	2.202040708
690	2.200365912
691	2.198793157
692	2.196496204
693	2.195864054
694	2.193204985
695	2.192641248
696	2.191076787
697	2.189148624
698	2.187645744
699	2.186487028
700	2.186296737
701	2.18301228
702	2.182949055
703	2.181093185
704	2.178736165
705	2.17673974
706	2.175666263
707	2.174120978
708	2.171955407
709	2.171036394
710	2.1697294
711	2.168201483
712	2.165897317
713	2.164782905
714	2.163149207
715	2.160679731
716	2.158972227
717	2.157024575
718	2.154287836
719	2.153326514
720	2.151708835
721	2.15151281
722	2.14930303
723	2.147925158
724	2.145560468
725	2.14373704
726	2.141226243
727	2.139674559
728	2.138111151
729	2.136328549
730	2.134607251
731	2.132773135
732	2.132314477
733	2.131868239
734	2.13044644
735	2.129261935
736	2.127833387
737	2.126715782
738	2.12402211
739	2.122612863
740	2.12045033
741	2.118401202
742	2.118163425
743	2.115975233
744	2.114834603
745	2.113269735
746	2.111480593
747	2.11029832
748	2.107946533
749	2.105579469
750	2.104184244
751	2.101783337
752	2.098474497
753	2.096149087
754	2.094550518
755	2.093626148
756	2.09223923
757	2.090633735
758	2.089737792
759	2.087670911
760	2.086163224
761	2.085985506
762	2.084531156
763	2.084013782
764	2.083330983
765	2.081965474
766	2.080352775
767	2.077945027
768	2.075660171
769	2.075360922
770	2.073027695
771	2.071985894
772	2.07090448
773	2.069299783
774	2.067593528
775	2.066905883
776	2.065346553
777	2.065228514
778	2.063539457
779	2.06268555
780	2.06093229
781	2.059412309
782	2.057169342
783	2.056883529
784	2.055286237
785	2.054460919
786	2.054267066
787	2.052565172
788	2.052096653
789	2.051274922
790	2.050047593
791	2.049456809
792	2.048728641
793	2.047343477
794	2.046520975
795	2.04499432
796	2.043939628
797	2.043880638
798	2.042807034
799	2.0415892
800	2.040164104
801	2.038837783
802	2.037966498
803	2.037205633
804	2.037064051
805	2.036189678
806	2.036023108
807	2.035718364
808	2.035657274
809	2.03374291
810	2.032582881
811	2.03214986
812	2.030831181
813	2.028709852
814	2.026925803
815	2.025700429
816	2.02461329
817	2.023058966
818	2.021689448
819	2.019577196
820	2.018103751
821	2.017797424
822	2.015935559
823	2.015477113
824	2.013801743
825	2.013260824
826	2.011064877
827	2.009520436
828	2.008800601
829	2.00870416
830	2.008227826
831	2.008013552
832	2.006378297
833	2.005013008
834	2.004001504
835	2.002845233
836	2.000355964
837	1.998731154
838	1.997631788
839	1.996135535
840	1.995986759
841	1.99419625
842	1.992930491
843	1.99218595
844	1.992111337
845	1.99000778
846	1.989611943
847	1.989521215
848	1.989432237
849	1.987605824
850	1.987553545
851	1.986880829
852	1.986474651
853	1.986025341
854	1.984416833
855	1.98312943
856	1.981306338
857	1.979202658
858	1.976625322
859	1.975298782
860	1.97376176
861	1.973562491
862	1.971955171
863	1.971230473
864	1.9701515
865	1.968910156
866	1.968285378
867	1.967221111
868	1.967162536
869	1.965006393
870	1.963798728
871	1.961873742
872	1.961397267
873	1.959840483
874	1.959747296
875	1.957697539
876	1.956599884
877	1.955121887
878	1.955084843
879	1.953719885
880	1.952956307
881	1.951295838
882	1.950630336
883	1.948954365
884	1.948007535
885	1.94680741
886	1.945922224
887	1.944175176
888	1.943117719
889	1.941533031
890	1.94149797
891	1.940539486
892	1.939133182
893	1.938251344
894	1.93701456
895	1.935443938
896	1.933872077
897	1.93274127
898	1.932557547
899	1.930333643
900	1.929991069
901	1.92834539
902	1.927225107
903	1.925867262
904	1.924878469
905	1.924177699
906	1.923971472
907	1.922698724
908	1.921195557
909	1.921163137
910	1.919626865
911	1.918358963
912	1.91605761
913	1.914680403
914	1.912956443
915	1.912382434
916	1.909725628
917	1.908464274
918	1.907287933
919	1.905931077
920	1.904977469
921	1.902787107
922	1.900312432
923	1.898928831
924	1.898619955
925	1.897669217
926	1.896135206
927	1.894957319
928	1.894363611
929	1.892567101
930	1.890478468
931	1.888332885
932	1.887437192
933	1.887392207
934	1.886642693
935	1.884302841
936	1.883055328
937	1.883021218
938	1.881475419
939	1.880924455
940	1.879355628
941	1.87862606
942	1.877138777
943	1.875941533
944	1.87444968
945	1.873187526
946	1.870466494
947	1.869659302
948	1.868762106
949	1.868231858
950	1.86746042
951	1.867314775
952	1.86558727
953	1.865509446
954	1.864590372
955	1.864012177
956	1.862562142
957	1.86127767
958	1.860128546
959	1.858341248
960	1.857687664
961	1.855978455
962	1.85466457
963	1.853608913
964	1.851437767
965	1.850326217
966	1.849368556
967	1.847049214
968	1.846951791
969	1.845696753
970	1.84437617
971	1.843229022
972	1.841848119
973	1.840821544
974	1.840126131
975	1.838674895
976	1.837715442
977	1.836410556
978	1.836376793
979	1.834901216
980	1.834659918
981	1.83312829
982	1.832094795
983	1.83080501
984	1.830384494
985	1.828756723
986	1.826855442
987	1.825295377
988	1.823843981
989	1.823023941
990	1.82157533
991	1.821109455
992	1.820647205
993	1.819820988
994	1.819362052
995	1.818655039
996	1.817533143
997	1.815722574
998	1.814119377
999	1.813155818
